text,mark
"Достойно, красиво, удобно.",5
"Жили в люксе Лотос. Отель просто супер! Чистый, красивый, свежий! Всё необходимое есть в номере! Завтраки отличные. Территория отеля очень красивая. Месторасположение хорошее, от метро 5 минут, до ВДНХ пешком. Если не хотите кушать в ресторане, есть «перекресток» рядом через дорогу. Однозначно рекомендую! Спасибо!",5
"Очень свеженький приятный отель. Такая полноценная 5ка. Хороший персонал, быстро реагируют на просьбы и пожелания. Завтраки понравились всем членам семьи с разными вкусовыми предпочтениями) Есть парковка 👍🏼 до парка 10 минут ходьбы.",5
Уровень отеля очень высокий. Номера продуманны до мелочей. Чувствуется класс. Отель стоит своих денег,5
Всё супер! Жаль автостоянка стала платной...,5
"Очень все понравилось 🙏 Благодарю администрацию отеля за 🎁 подарок, безумно приятно ❤️ Всем рекомендую 🔥",5
Очень приличный отель!,5
"Очень понравился отель. Номера просторные чистые. Вкусный и разнообразный завтрак. Перед отелем есть зона отдыха в восточном стиле, где можно прогуляться .",5
"Отель супер. Очень просторные номера. Хороший напор в душе(что не в многих отелях 5 звезд есть!) и в целом ванная очень приятная. Кровать реально была king-size, очень удобная. Рядом ВДНХ и Ботанический сад . Всем рекомендую.",5
"Очень красивый и роскошный отель. Останавливалась на 1 ночь в самом простом номере, но в нем все было отлично: огромный номер, шикарный вид, ванна с солью для ванн, удобный рабочий стол, достаточно большая кровать (queen size), все чисто, ничего не сломано, в телевизоре много каналов, есть растворимый кофе и вода. Единственный минус: очень шумел кондиционер, поэтому я его выключила. Также было хорошо слышно пробегающих по коридору детей, но это было всего пару раз за день, и мне это не помешало. К сожалению, не успела воспользоваться услугами ресторанов и тренажерного зала, поэтому о них ничего не могу сказать. Для информации: За раннее заселение (в 9 утра) взяли чуть больше половины стоимости номера.",5
"Классный отель. Огромные, уютные номера. Отдельное спасибо за ванную комнату. Завтра очень разнообразный и на уровне)",5
Один из лучших отелей Москвы и Московской области,5
"Хороший 5 звездочный отель, прекрасный интерьер, великолепный большой номер, удобная кровать, рабочий стол, большая ванная с душем, мне очень понравилось, советую, для размещения!",5
Отличный отель.Прекрасные номера. Единственный минус нет своего бассейна,5
