name,rating,review,review_mark
Объект 784,4.9,"Это просто замечательное место. Однозначно рекомендую тут остаться хотя бы на одну ночь. Очень интересный интерьер и вежливые работники отеля, не оставят Вас равнодушным. Были рабочей компанией, остались все под впечатлением.",5
Объект 784,4.9,"Заехали покушать, пошли в итоге на веранду, очень вкусный и недорогой шашлык, рекомендую!",5
Объект 784,4.9,"отличный отель, чистота в номерах, уютные комнаты, есть вай фай, телевизор, холодильник, чайник, библиотека, удобный заезд и выезд) Есть столовая(кафе) на первом этаже",5
Объект 784,4.9,"Все супер, но на этажи подъем пешком с чемоданами и вещами. Столовая отличная, но в очереди вместе с дальнобойщиками, часто не терпеливыми))) Огромная библиотека! Причём очень хорошая на 2ом и 3ем этажах 👍. Есть кондиционеры как в коридорах так и номерах. Приятно удивил как придорожный отель.",4
Объект 784,4.9,"Еда не очень, стоянка платная даже днем.",1
Объект 784,4.9,"Поставил 5 звёзд этой гостинице, первый раз здесь ночевал думал хуже будет, но нет всё понравилось., дизайн не обычный не как у всех. Кафе тоже нормально накормили, короче довольный уехал.",5
Объект 784,4.9,Парковка большая. Везде асфальт.. Кафе вкусно и цены приемлемые.. Есть душ и туалет.. Вежливый персонал,5
Объект 784,4.9,"Очень понравилось данное заведение, есть все, чтоб провести нормально время в дороге, цены адекватные, все очень вкусно.",5
Объект 784,4.9,"Прекрасная гостиница. Часто экспедирую выгрузки на склад рядом с ней. Захожу перекусить. Очень отзывчивый персонал, уютно, вкусно, очень симпатично внутри. Стоянка всегда полная, водители тоже выбирают это место.",5
Объект 784,4.9,"На Казанской объездной, по цене и качеству норм кафе, и стоянка, правда шумно ночью, рядом дорога",4
Объект 784,4.9,В среднем на четверрчку,4
Объект 784,4.9,всё замечательно,5
Объект 784,4.9,"Поставим 5, семейный номер хороший (даже супер). Есть моменты связанные со столовой, точнее если мы говорим столовая - то наверное даже лучше чем столовая. P.s. предложил бы увеличить чек процентов на 20 в столовой, провести переобучение персонала и столовую превратить в уверенное кафе, по ощущениям продукты даже не нужно менять для приготовления, а вот конкретно поваров можно было бы ""поднатаскать"", а может нужен ""злой"" шеф на кухню. В общем есть мега большой диссонанс между номером - отелем (супер!), до покушать (без оценки), если бы совместить и то и другое на первом уровне, то было бы прямо одно из самых интересных мест на карте России.",5
Объект 784,4.9,"Хорошая гостиница,мягкие матрасы и чисто в номерах.Готовят тоже вкусно))",5
Объект 784,4.9,"Отличная столовая, доступные цены",5
Объект 784,4.9,"Хорошие отзывы люди не любят писать, а я напишу, хочу сказать всему персоналу спасибо большое за гостеприимство, остановились с семьёй, нам всё очень понравилось, чистота, сервис, а так же кухня. Это придорожная гостиница, но когда заходишь в холл попадаешь в супер крутое место с интересным дизайном, администраторы тактичные и душевные девушки готовы помочь в любой момент, ещё раз спасибо, ни разу не пожалели что остановились в этом месте.",5
Объект 784,4.9,"Комплекс не плохой, кухня хорошая,всём рекомендую 👍",5
Объект 784,4.9,"Самый шоферской вариант. И дешёво, и сердито. Меню в норме.",5
Объект 784,4.9,"Хорошее место, останавливался на стоянке. Душ, туалет, столовая в которой можно покушать вкусно и недорого. Так же есть гостиница.",5
Объект 784,4.9,Огонь,5
Объект 784,4.9,"Мало мест для легковых автомобилей. Парковка платная, но входит в стоимость номера, но не факт, что когда вернетесь место будет. Уборка в номере - замена полотенец, туалетной бумаги, вынос мусора и выдача шампуней и гелей для душа. Во сколько надо уйти чтобы убрались в номере без уточнения на ресепшене, даже с вывешенной табличкой, так и не поняли. Кафе - самая обычная столовая, с безвкусной едой. Есть прачечная, за отдельную стоимость. Кондиционер в номере реально охлаждает. Персонал очень вежливый.",4
Объект 784,4.9,"Отличный привал для водителя , цены радуют",5
Объект 784,4.9,"Отель оставил неоднозначное мнение.... Плюсы: относительно новый мотель, приятный интерьер, наличие кафе, где неплохо кормят, хороший ассортимент блюд утром и днем, вечером мало что остаётся. Теперь минусы: администратор, которая работала 18 июня совершено не клиентоориентирована, мягко сказать. Бронировали в феврале на 2 ночи на июнь, указывали номер, не ниже 2 этажа. Несмотря на все наши просьбы, что у меня завтра день рождения или хотя бы переселить на следующий день ответила отказом, сказав что никаких комментариев она не может видеть и все занято, что оказалось ложью, заселила на 1 этаж. В номере был неприятный запах в туалете, не работал телевизор и 1 ночник, кроме того у окна ходили, разговаривали и курили какие-то люди, открыть окно было невозможно. Самое веселье было с 3 до 5 утра, начали хлопать дверями и громко разговаривать и смеяться(в отеле в основном селятся дальнобойщики) спать было не возможно, проснулись с головной болью, день рождения был испорчен. Позвонили в яндекс путешествия, обещали помочь. На следующее утро пришла новая администратор успокоила и все разрулила, нас переселили на 2 этаж, номер небо и земля по сравнению с первым. Пожелание администрации: внимательно набирайте персонал, девушка администратор, которая работала 18 июня явно не на своём месте, так все клиенты разбегутся. Сюда вероятнее всего не вернемся, а мы очень много путешествуем, и рекомендовать не буду.",3
